USD,USA
"You have no items in your shopping cart.","Vous n'avez aucun article dans votre panier."
"Action","action"
"View Order","Voir l'ordre"
"Complete","Compléter"
"Processing","Traitement"
"Pending","En attente"
"Rating & Review Product","Note et évaluation du produit"
"Download Invoice","Télécharger la facture"
"Show","Montrer"
"per page","par page"
"Back","Retour"
"Update Cart","Mise à jour panier"
"Previous","Précédente"
"You have not purchased any downloadable products yet.","Vous n'avez pas encore acheté de produits téléchargeables."
"Wishlist","Liste de souhaits"
"Update shopping","Mettre à jour vos achats"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Shipping Address","Changer l'adresse de livraison"
"Additional Address Entries","Entrées d'adresse supplémentairess"
"Last Name","Nom"
"Street Address","Rue"
"City","Ville"
"Country","Pays"
"State","ƒtat"
"Zip/Postal Code","Zip / code postal"
"Postal Code","Code Postal"
"Phone","Téléphoner"
"Edit","ƒditer"
"Delete","Effacer"
'Add New Address","Ajouter une nouvelle adresse"
"Account Information","Information sur le compte"
"Change Email","Changer l'e-mail"
"Email Address","Adresse électronique"
"Change Password","Changer le mot de passe"
"Save","Sauvegarder"
"OR","OU ALORS"
"What is PayPal?","Qu'est-ce que PayPal?"
"Go back","Retourner"
"You have no stored payment methods.","Vous n'avez aucun moyen de paiement enregistré."
"There are no billing agreements yet.","Il n'y a pas encore d'accord de facturation."
"New Billing Agreement","Nouvel accord de facturation"
"You will be redirected to the payment system website.","Vous serez redirigé vers le site Web du système de paiement."
"Please Select","Veuillez sŽlectionner"
"Create...","Créer..."
"You have submitted no reviews.","Vous n'avez soumis aucun commentaire."
"Subscription option","Option d'abonnement"
"General Subscription","Abonnement général"
"Cards","Cartes"
"Firstname","Prénom"
"Lastname","Nom"
"Email","E-mail"
"This is a required field.","Ceci est un champ obligatoire."
"No Password","Pas de mot de passe"
"Re-type Password","Retaper le mot de passe"
"Actions","Actions"
"What's this?","Qu'est-ce que c'est ça?"
"Remember Me","Se souvenir de moi"
"Add a new saved card","Ajouter une nouvelle carte enregistrée"
"Enter your card details:","Entrez les détails de votre carte:"
"Your card details are protected using PCI DSS v3.2 security standards.",Les détails de votre carte sont protégés à l'aide des normes de sécurité PCI DSS v3.2."
"You do not have any subscriptions yet.","Vous n'avez pas encore d'abonnement."
"Subtotal","Sous Total"
"Summary","Résumé"
"Estimate Shipping and Tax","Estimation des frais de transports et des taxes"
"Shipping","Expédition"
"Order Total","Total de la commande"
"Fixed","Fixée"
"Flat Rate - Fixed","Tarif forfaitaire - Fixe"
"Order Total Incl. Tax","Total de la commande, taxes comprises"
"Order Total Excl. Tax","Total de la commande excl. taxes"
"Check Out with Multiple Addresses","Commander avec plusieurs adresses"
"Apply Discount Code","Appliquer le code promo"
"Enter discount code","Entrez le code promo"
"Apply Discount","Appliquer la remise"
"Update Shopping Cart","Mettre à jour le panier"
"Review & Payments","Révision et paiements"
"Shipping Address","Adresse de Livraison"
"Ship Here","Expédier ici"
"Place Order","Passer la commande"
"Ship To:","Envoyez à:"
"New Address","Nouvelle adresse"
"Shipping Methods","méthodes de livraison"
"Free","Libérer"
"Free Shipping","Livraison gratuite"
"Flat Rate","Forfait"
"Next","Suivante"
"Order Summary","Récapitulatif de la commande"
"Items in Cart","Articles dans le panier"
"Payment Method","Mode de paiement"
"Cart Subtotal","Sous-total du panier"
"Shipping","expédition"
"Ship To:","Envoyez ˆ:"
"Shipping Method:","Mode de livraison:"
"Free Shipping - Free","Livraison gratuite - gratuite"
"All Categories","Toutes les Catégories"
"SHOP NOW","ACHETEZ MAINTENANT"
"Price:","Prix:"
"Hair Care","Soin des cheveux"
"Hair Appliances","Appareils pour cheveux"
"Hair Extensions","Extensions de cheveux"
"Hair Color","Couleur de cheveux"
"Tools & Brush","Outils et pinceau"
"Men","Hommes"
"Shampoo & Conditioner","Shampooing et revitalisant"
"Shampoo","Shampooing"
"Conditioner","Conditionneuse"
"Scalp Scrub","Gommage du cuir chevelu"
"Hair Treatments","Traitements capillaires"
"Hair Mask","Masque capillaire"
"Leave-in Conditionner","Revitalisant sans rinçage"
"Hair Oil","Huile pour cheveux"
"Scalp Treatments","Traitements du cuir chevelu"
"Hair Thinning & Loss","Amincissement et perte de cheveux"
"Hair Styling","Coiffure"
"Dry Shampoo","Shampooing sec"
"Hair Primers","Apprêts pour les cheveux"
"Hair Spray","Laque pour les cheveux"
"Heat Protectant","Protecteur de chaleur"
"Hair Serums","Sérums capillaires"
"Hair Tools","Outils de cheveux"
"Hair Dryers","Sèche-cheveux"
"Standard Dryer","Séchoir standard"
"Travel Dryer","Sèche-linge de voyage"
"Hair Straighteners","Lisseurs de cheveux"
"Standard SIze","Taille standard"
"Travel Size","Taille de voyage"
"Wide irons","Fers larges"
"Narrow plated","Plaqué étroit"
"Curling Irons","Fers à friser"
"Triple Barrel","Baril triple"
"Curl Bar","Barre de curl"
"Double Barrel","Double baril"
"Multi attachment","Multi-attachement"
"Tongs","Pinces"
"Wands","Baguettes"
"Length","Longueur"
"Type","Taper"
"Clip-In Extensions","Extensions à clips"
"Extensions Accessories","Accessoires d'extensions"
"Extensions Kit","Kit d'extensions"
"Hot Press","Presse à chaud"
"Microsphere","Microsphère"
"Nanosphere","Nanosphère"
"Pinch","Pincer"
"Stick","Coller"
"Sticky","Collant"
"Weft","Trame"
"Colour Intensifiers","Intensificateurs de couleur"
"Fashion Colours","Couleurs de la mode"
"Root Touch-Up","Retouche racine"
"Semi-Permanent","Semi-permanent"
"Toners & Creams","Toners et crèmes"
"Hair Brush and Combs","Brosse à cheveux et peignes"
"Brush","Brosser"
"Combs","Peignes"
"Email Us","Envoyez-nous un email"
"Flat Rate","Forfait",
"This shipping method is not available. To use this shipping method, please contact us.,"Cette méthode d'expédition n'est pas disponible. Pour utiliser cette méthode d'expédition, veuillez nous contacter."
"États-Unis","United States"
